src/main/java/co/edu/unbosque/horizont/HorizontApplication.java:11:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:11:	DataClass:	DataClass: The class 'IdentityDTO' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=18, WMC=18)
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:16:	FieldNamingConventions:	FieldNamingConventions: The field name 'given_name' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:21:	FieldNamingConventions:	FieldNamingConventions: The field name 'family_name' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:26:	FieldNamingConventions:	FieldNamingConventions: The field name 'date_of_birth' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:31:	FieldNamingConventions:	FieldNamingConventions: The field name 'tax_id' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:36:	FieldNamingConventions:	FieldNamingConventions: The field name 'tax_id_type' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:41:	FieldNamingConventions:	FieldNamingConventions: The field name 'country_of_citizenship' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:41:	LongVariable:	LongVariable: Avoid excessively long variable names like country_of_citizenship
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:46:	FieldNamingConventions:	FieldNamingConventions: The field name 'country_of_birth' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:51:	FieldNamingConventions:	FieldNamingConventions: The field name 'country_of_tax_residence' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:51:	LongVariable:	LongVariable: Avoid excessively long variable names like country_of_tax_residence
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:54:	CommentSize:	CommentSize: Comment is too large: Line too long
